Breakdown of holdings under the ABSPP*,,,,,
End of Month,Primary market holdings ,Share PM,Secondary market holdings,Share SM,Total holdings
01/10/2022,"12,486",52.37%,"11,358",47.63%,"23,844"
01/11/2022,"12,540",52.64%,"11,282",47.36%,"23,822"
01/12/2022,"12,137",53.01%,"10,758",46.99%,"22,895"
01/01/2023,"11,185",53.70%,"9,644",46.30%,"20,829"
01/02/2023,"10,851",53.75%,"9,338",46.25%,"20,189"
01/03/2023,"10,487",53.88%,"8,977",46.12%,"19,464"
01/04/2023,"9,888",53.56%,"8,574",46.44%,"18,462"
01/05/2023,"9,635",54.07%,"8,183",45.93%,"17,818"
01/06/2023,"9,333",53.61%,"8,076",46.39%,"17,409"
01/07/2023,"9,059",53.76%,"7,792",46.24%,"16,851"
01/08/2023,"8,836",53.76%,"7,600",46.24%,"16,436"
01/09/2023,"8,172",53.37%,"7,140",46.63%,"15,312"
01/10/2023,"7,699",53.66%,"6,650",46.34%,"14,349"
01/11/2023,"7,413",53.56%,"6,427",46.44%,"13,840"
01/12/2023,"7,160",53.64%,"6,188",46.36%,"13,348"
01/01/2024,"6,916",53.63%,"5,979",46.37%,"12,895"
01/02/2024,"6,710",53.48%,"5,836",46.52%,"12,546"
01/03/2024,"5,749",54.56%,"4,788",45.44%,"10,537"
01/04/2024,"5,548",54.60%,"4,613",45.40%,"10,161"
01/05/2024,"5,266",55.85%,"4,162",44.15%,"9,428"
01/06/2024,"5,019",56.08%,"3,930",43.92%,"8,949"
01/07/2024,"4,848",56.10%,"3,793",43.90%,"8,641"
"*end of month book value at amortised cost, in eur mil. Previous month's figures subject to revision. Figures reported net of redemptions.",,,,,
"**Discontinued update of this historical data, as purchases in ABSPP were halted in July 2023",,,,,

